Course, From, Skill
Statistics with Python, University of Michigan, General Statistics  Probability & Statistics  Statistical Analysis  Data Analysis  Statistical Tests  Basic Descriptive Statistics  Probability Distribution  Python Programming  Statistical Visualization  Statistical Programming  Mathematics  Plot (Graphics)  Regression  Correlation And Dependence  Data Visualization  Computer Programming  Data Model  Bayesian Statistics
Programming in Python: A Hands-on Introduction, Codio, Python Programming  Computer Programming  Computer Science
Introduction to Python Programming, University of Pennsylvania, Python Programming  Computer Programming  Programming Principles  Computational Logic  Computational Thinking  Computer Programming Tools  Critical Thinking  Problem Solving  Data Structures
Data Visualization with Python, IBM, Python Programming  Computer Programming  Data Analysis  Data Visualization
Machine Learning, Multiple educators, Machine Learning  Machine Learning Algorithms  Applied Machine Learning  Algorithms  Deep Learning  Machine Learning Software  Artificial Neural Networks  Human Learning  Statistical Machine Learning  Python Programming  Regression  Mathematics  Tensorflow  Decision Making  Critical Thinking  Network Model  Reinforcement Learning
Data Structures and Algorithms, University of California San Diego, Algorithms  Theoretical Computer Science  Computer Programming  Data Structures  Problem Solving  Mathematics  Computational Thinking  Computer Programming Tools  Computational Logic  Critical Thinking  Graph Theory  Programming Principles  Mathematical Theory & Analysis  C++ Programming  Algebra  Software Testing
Introducción a la programación en Python I: Aprendiendo a programar con Python, Pontificia Universidad Católica de Chile, Computational Logic  Computer Programming  Programming Principles  Python Programming  Algorithms  Data Analysis  Computer Programming Tools  Computational Thinking  System Programming  Problem Solving
Dive Deep into Python, Board Infinity, Python Programming
Deep Learning, DeepLearning.AI, Machine Learning  Deep Learning  Artificial Neural Networks  Machine Learning Algorithms  Applied Machine Learning  Python Programming  Machine Learning Software  Network Model  Algorithms  Computer Programming  Computer Vision  Network Architecture  Natural Language Processing  Tensorflow  Human Learning  Data Analysis  Data Model  Exploratory Data Analysis  Organizational Development  Process Analysis  Mathematics  Mathematical Theory & Analysis  Linear Algebra  Regression  Calculus
Python Classes and Inheritance, University of Michigan, Computer Programming  Python Programming
Introduction to Programming with Python and Java, University of Pennsylvania, Computer Programming  Python Programming  Programming Principles  Java Programming  Computer Programming Tools  Data Analysis  Data Structures  Problem Solving  Computational Logic  Computational Thinking  Critical Thinking  Data Analysis Software  Data Management  Data Visualization  Exploratory Data Analysis  Software Engineering  Data Science
Meta Back-End Developer, Meta, Python Programming  Databases  HTML and CSS  SQL  Database Design  Programming Principles  Algorithms  Computer Science  Big Data  React (web framework)  Software Testing  Web Development  Application Development  Back-End Web Development  Cloud API  Cloud Computing  Cloud Infrastructure  Collaboration  Communication  Computer Programming  Data Model  Data Structures  Data Warehousing  Database Administration  Database Application  Database Theory  DevOps  Django (Web Framework)  Front-End Web Development  Full-Stack Web Development  Javascript  Kubernetes  Linux  Problem Solving  Semantic Web  Software Engineering  Software Engineering Tools  Statistical Programming  Tensorflow  Web Design  Web Development Tools
Introduction to Data Science in Python, University of Michigan, Computer Programming  Data Analysis  Data Management  Python Programming  Statistical Programming  Data Mining  Extract  Transform  Load  Critical Thinking  Data Structures  Exploratory Data Analysis  General Statistics
Data Science Fundamentals with Python and SQL, IBM, Python Programming  Data Analysis  General Statistics  Probability & Statistics  Basic Descriptive Statistics  Statistical Analysis  Statistical Tests  Mathematical Theory & Analysis  Statistical Programming  Computer Programming  Data Analysis Software  Data Visualization  Data Science  Probability Distribution  R Programming  Business Analysis  Data Management  Database Application  Database Theory  Databases  SQL  Cloud Computing  IBM Cloud
Google Cybersecurity, Google, Network Security  Python Programming  Linux  Cloud Computing  Algorithms  Audit  Computer Programming  Computer Security Incident Management  Cryptography  Databases  Leadership and Management  Network Architecture  Risk Management  SQL
Python 101: Develop Your First Python Program, Coursera Project Network, Computer Programming  Python Programming  Data Analysis
Python Programming Essentials, Rice University, Computational Logic  Computer Programming  Critical Thinking  Mathematical Theory & Analysis  Mathematics  Programming Principles  Python Programming  Algebra  Algorithms  Computational Thinking
Python Data Structures, University of Michigan, Computational Logic  Computer Programming  Computer Programming Tools  Critical Thinking  Data Analysis  Data Management  Data Structures  Problem Solving  Programming Principles  Python Programming  Software Engineering
Google IT Support, Google, Computer Networking  Network Architecture  Network Model  Networking Hardware  Network Analysis  Computer Architecture  Critical Thinking  Problem Solving  Communication  Human Computer Interaction  Network Security  Linux  System Security  Cloud Computing  Computer Programming  Customer Support  Cryptography  Leadership and Management  Operating Systems
IBM Full Stack Software Developer, IBM, Cloud Computing  Cloud Applications  IBM Cloud  Cloud Infrastructure  DevOps  Cloud Platforms  Computer Programming  Javascript  Python Programming  Cloud Management  Web Development  Software Architecture  Application Development  Cloud API  Cloud-Based Integration  Software Engineering  Microarchitecture  Cloud Storage  Continuous Delivery  Continuous Integration  Full-Stack Web Development  Software As A Service  Docker (Software)  Kubernetes  Software Engineering Tools  Software Testing  Django (Web Framework)  NoSQL  SQL  Collaboration  Computer Science  Data Analysis  Front-End Web Development  Leadership and Management  Mergers & Acquisitions  React (web framework)
Expressway to Data Science: Python Programming, University of Colorado Boulder, Python Programming  Computer Programming  Programming Principles  Computer Programming Tools  Computational Thinking  Problem Solving  Data Science  Data Visualization  Software Engineering
IBM Data Analyst, IBM, Python Programming  Microsoft Excel  Data Visualization  Spreadsheet Software  Data Analysis  Data Management  Data Structures  Databases  Exploratory Data Analysis  SQL  Plot (Graphics)  Business Analysis  Data Analysis Software  Database Theory  Computer Programming  Database Application  Statistical Visualization  Big Data  Data Mining  Data Science  General Statistics  NoSQL  Cloud Computing  Data Visualization Software  IBM Cloud  Interactive Data Visualization  Machine Learning  Machine Learning Algorithms  Probability & Statistics  Regression
Google Advanced Data Analytics, Google, Communication  Computer Programming  Data Analysis  Data Visualization  Exploratory Data Analysis  General Statistics  Machine Learning  Planning  Probability Distribution  Project Management  Python Programming  Regression  Statistical Analysis  Tableau Software
IBM DevOps and Software Engineering, IBM, DevOps  Software Engineering  Cloud Computing  Computer Programming  Application Development  Software Architecture  Cloud Applications  Continuous Delivery  Continuous Integration  Python Programming  Software Engineering Tools  Software Testing  Agile Software Development  Security Engineering  Cloud Infrastructure  Kubernetes  Programming Principles  Cloud-Based Integration  Microarchitecture  Cloud Platforms  Communication  IBM Cloud  Scrum (Software Development)  Software Security  Cloud Storage  Docker (Software)  Linux  Product Management  Software-Defined Networking  Collaboration  Leadership and Management  Data Analysis  Mergers & Acquisitions
Data Processing Using Python, Nanjing University, Computer Programming  Python Programming  Data Analysis  Programming Principles  Data Structures  Mathematical Theory & Analysis  Statistical Programming
Python: A Guided Journey from Introduction to Application, Arizona State University, Computer Programming  Python Programming
Data Collection and Processing with Python, University of Michigan, Computer Programming  Python Programming
Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript, University of Michigan, Computer Programming  Programming Principles  Python Programming  Computer Programming Tools  Data Structures  Computational Logic  Computational Thinking  Algorithms  Computer Graphics  Design and Product
Linear Regression with NumPy and Python, Coursera Project Network, Machine Learning  Python Programming  Regression  Data Science
Introdução à Ciência da Computação com Python Parte 1, Universidade de São Paulo, Computer Programming  Python Programming  Computer Programming Tools  Programming Principles  Computational Logic  Computational Thinking  Algorithms  Theoretical Computer Science  Mathematics  Mathematical Theory & Analysis  Computer Science
Data Analysis Using Python, University of Pennsylvania, Data Analysis  Python Programming  Computer Programming  Data Analysis Software  Data Management  Data Structures  Data Visualization  Exploratory Data Analysis  Programming Principles  Computer Programming Tools  Data Science
Introduction to Scripting in Python, Rice University, Computer Programming  Programming Principles  Python Programming  Computer Programming Tools  Computational Logic  Data Analysis  Computational Thinking  Mathematics  Algorithms  Critical Thinking  Data Structures  Mathematical Theory & Analysis  Problem Solving  Algebra  Data Visualization
Django for Everybody, University of Michigan, Web Development  Django (Web Framework)  Computer Programming  Javascript  Other Web Frameworks  Data Model  Python Programming  SQL
Python for Data Analysis: Pandas & NumPy, Coursera Project Network, Data Analysis  Python Programming  Data Science
An Introduction to Programming using Python, University of Leeds, Computer Programming  Programming Principles  Python Programming
Python Scripting for DevOps, LearnQuest, Python Programming  Computer Programming  Programming Principles  DevOps  Devops Tools  Databases
Automate Cybersecurity Tasks with Python, Google, Python Programming  Algorithms  Computer Programming
Python Functions  Files  and Dictionaries, University of Michigan, Python Programming  Computer Programming
Problem Solving  Python Programming  and Video Games, University of Alberta, Computer Programming  Python Programming  Programming Principles  Problem Solving  Computational Thinking  Process Analysis  Critical Thinking  Computational Logic  Algorithms  Computer Programming Tools  Computer Science
Aprende a programar con Python, Universidad Austral, Computer Programming  Python Programming  Programming Principles  Computer Programming Tools  System Programming  Data Structures  Computational Logic  Algorithms  Databases  SQL  Mathematics  Computational Thinking  Software Engineering  Data Analysis  Problem Solving  Database Application  Database Administration  Data Management  Database Theory  Software Testing  Systems Design  Database Design  Theoretical Computer Science
Data Analysis with R Programming, Google, R Programming  Data Analysis  Computer Programming  Data Visualization  SQL
Generative AI with Large Language Models, DeepLearning.AI, Machine Learning  Natural Language Processing  Python Programming
Meta Database Engineer, Meta, SQL  Databases  Statistical Programming  Python Programming  Database Design  Programming Principles  Algorithms  Computer Science  Big Data  Software Testing  Application Development  Collaboration  Communication  Computer Programming  Data Analysis  Data Management  Data Model  Data Structures  Data Warehousing  Database Administration  Database Application  Database Theory  Django (Web Framework)  Javascript  Leadership and Management  Linux  Problem Solving  Project Management  Software Engineering  Software Engineering Tools  Tableau Software  Tensorflow  Web Development
Compose and Program Music in Python using Earsketch, Coursera Project Network, Computer Programming  Python Programming
Create Your First Game with Python, Coursera Project Network, Computer Programming  Python Programming
Investment Management with Python and Machine Learning, EDHEC Business School, Investment Management  Finance  Python Programming  Data Analysis  Computer Programming  Machine Learning  Statistical Programming  Applied Machine Learning  Financial Analysis  Machine Learning Algorithms  Risk Management  Statistical Machine Learning  Data Analysis Software  Data Management  Data Mining  Natural Language Processing  Algorithms  Human Learning  Big Data  Computer Science
Build a Data Science Web App with Streamlit and Python, Coursera Project Network, Computer Programming  Data Visualization  Python Programming  Data Science  Web Development
Build a Website using an API with HTML  JavaScript  and JSON, Coursera Project Network, Cloud API  Data Analysis  HTML and CSS  Javascript  Python Programming  Web Design  Web Development
Fundamentals of Computing, Rice University, Computer Programming  Python Programming  Programming Principles  Mathematics  Algorithms  Computational Logic  Computational Thinking  Computer Programming Tools  Critical Thinking  Problem Solving  Theoretical Computer Science  Visualization (Computer Graphics)  Computer Graphics  Data Structures  Graph Theory  Probability & Statistics  Combinatorics
Developing AI Applications with Python and Flask, IBM, Software Testing  Application Development  Computer Programming  Python Programming
Foundations of Data Structures and Algorithms, University of Colorado Boulder, Algorithms  Theoretical Computer Science  Data Structures  Computer Programming  Graph Theory  Problem Solving  Computational Logic  Computational Thinking  Mathematical Theory & Analysis  Mathematics  Applied Mathematics  Python Programming
IBM AI Developer, IBM, Machine Learning  Deep Learning  Machine Learning Algorithms  Artificial Neural Networks  Python Programming  Cloud Computing  Computer Vision  Human Learning  IBM Cloud  Natural Language Processing  Algorithms  Applied Machine Learning  Machine Learning Software  Computer Programming  Application Development  Cloud API  Cloud Applications  Computer Programming Tools  Human Computer Interaction  Software Engineering Tools  Visualization (Computer Graphics)  Big Data  Software Engineering  User Experience Design  Communication  Customer Analysis  Data Analysis  Programming Principles  Software Architecture  Agile Software Development  Web Development  Product Management  Software Testing  Software-Defined Networking  Javascript  Data Science
IBM AI Engineering, IBM, Machine Learning  Deep Learning  Artificial Neural Networks  Human Learning  Python Programming  Machine Learning Algorithms  Applied Machine Learning  Algorithms  Machine Learning Software  Regression  Network Model  Mathematics  Computer Vision  Apache  Big Data  Mathematical Theory & Analysis  Computer Programming  Data Analysis  Network Architecture  Extract  Transform  Load  Data Visualization  Tensorflow  Visualization (Computer Graphics)  Dimensionality Reduction  Data Science
Advanced Python Scripting for Cybersecurity, Infosec, Python Programming  Computer Programming
Programación en Python, Universidad de los Andes, Algorithms  Computational Logic  Computer Programming  Python Programming  Computational Thinking  Mathematics  Programming Principles  System Programming
Code Yourself! An Introduction to Programming, The University of Edinburgh, Algorithms  Computer Programming  Problem Solving  Computer Graphics  Creativity  Decision Making  Programming Principles  Other Programming Languages  Software Engineering  System Programming
An Introduction to Programming the Internet of Things (IOT), University of California  Irvine, Internet Of Things  Computer Programming  Computer Programming Tools  Hardware Design  Computer Networking  Programming Principles  Networking Hardware  Python Programming  System Programming  Communication  Computational Thinking  Computer Architecture  Operating Systems  Microarchitecture  Systems Design  C Programming Language Family  Human Computer Interaction  Network Architecture  Problem Solving  C++ Programming  Application Development  Graphics Software  Network Model  Other Programming Languages  Software-Defined Networking  Software Testing
Biology Meets Programming: Bioinformatics for Beginners, University of California San Diego, Bioinformatics  Computational Thinking  Problem Solving  Biostatistics  Computational Logic  Critical Thinking
Scrape and analyze data analyst job requirements with Python, Coursera Project Network, Data Analysis  Python Programming
Primeros pasos en Python, Coursera Project Network, Python Programming
Preparing for Google Cloud Certification: Machine Learning Engineer, Google Cloud, Machine Learning  Google Cloud Platform  Applied Machine Learning  Human Learning  Cloud Computing  Machine Learning Software  Cloud Platforms  Machine Learning Algorithms  Tensorflow  Deep Learning  Feature Engineering  Artificial Neural Networks  Training  Exploratory Data Analysis  DevOps  Python Programming  Cloud-Based Integration  Data Analysis  Data Visualization  Probability & Statistics  Statistical Programming  Big Data  Regression  Statistical Visualization  SQL  Algorithms  Continuous Integration  Cloud API  Apache  Extract  Transform  Load  Docker (Software)
Developing Applications with Google Cloud, Google Cloud, Cloud API  Cloud Computing  Cloud Platforms  Google Cloud Platform  Cloud Applications  Application Development  Cloud Infrastructure  Computer Architecture  Software Architecture  Back-End Web Development  Cloud Storage  Google App Engine  Kubernetes
Introduction to Python Fundamentals, University of Colorado Boulder, Computer Programming  Python Programming  Programming Principles  Computer Programming Tools  Computational Thinking  Problem Solving  Data Science
Create Your First Chatbot with Rasa and Python, Coursera Project Network, Computer Programming  Natural Language Processing  Python Programming
Clean and analyze social media usage data with Python, Coursera Project Network, Data Analysis  Data Visualization  Python Programming
Python  Bash and SQL Essentials for Data Engineering, Duke University, Computer Programming  Programming Principles  Python Programming  Computer Programming Tools  Data Management  Data Structures  Cloud Applications  Databases  Software Engineering Tools  SQL  Exploratory Data Analysis  Operating Systems  Amazon Web Services  Data Analysis  Extract  Transform  Load  Cloud Engineering  Cloud Platforms  DevOps  Machine Learning  Problem Solving  Small Data  Big Data  Computational Logic  Linux  Database Application
Программирование для всех (начало работы с Python), University of Michigan, Computer Programming  Python Programming  Programming Principles
用 Python 做商管程式設計（一）(Programming for Business Computing in Python (1)), National Taiwan University, Computer Programming  Computer Programming Tools  Python Programming  Programming Principles  Business Analysis  Algorithms  Business Design  Business Research  Operations Management  Problem Solving  Theoretical Computer Science
Mathematics for Machine Learning, Imperial College London, Algebra  Linear Algebra  Mathematics  Machine Learning  Mathematical Theory & Analysis  Computer Programming  Python Programming  Machine Learning Algorithms  Calculus  Computational Logic  Algorithms  Applied Machine Learning  Differential Equations  Applied Mathematics  Problem Solving  Statistical Analysis  Data Visualization  Dimensionality Reduction  Computer Programming Tools  Regression
用Python玩转数据 Data Processing Using Python, Nanjing University, Computer Programming  Python Programming  Data Analysis  Programming Principles  Big Data  Computer Programming Tools  Data Analysis Software  Statistical Programming
Introdução à Ciência da Computação com Python Parte 2, Universidade de São Paulo, Algorithms  Computer Programming  Python Programming  Computational Logic  Computational Thinking  Programming Principles  Software Engineering  Computer Programming Tools  Data Structures  Theoretical Computer Science
Applied Machine Learning in Python, University of Michigan, Algorithms  Machine Learning  Machine Learning Algorithms  Python Programming  Applied Machine Learning  Statistical Machine Learning  Data Analysis  Regression  Human Learning  Statistical Programming  Computer Programming
Python para Ciencia de Datos, Pontificia Universidad Católica de Chile, Leadership and Management  Strategy  Finance  Financial Analysis  Computer Programming  Data Analysis  Data Science  Data Visualization  Python Programming
COVID19 Data Analysis Using Python, Coursera Project Network, Data Analysis  Python Programming  Computer Programming
Concepts in Python: Loops  Functions and Returns, Coursera Project Network, Computer Programming  Python Programming
Python Data Structures, Coursera Project Network, Computer Programming  Data Structures  Python Programming
Python Basics for Online Research, University of California  Davis, Software Engineering  Computer Programming  Software Engineering Tools  Application Development  Programming Principles  Software Architecture  Agile Software Development  Communication  Product Management  Software-Defined Networking  Python Programming
Introduction to Software Engineering, IBM, Software Engineering  Computer Programming  Software Engineering Tools  Application Development  Programming Principles  Software Architecture  Agile Software Development  Communication  Product Management  Software-Defined Networking  Python Programming
GPU Programming, Johns Hopkins University, Python Programming  Machine Learning  Computer Programming  Artificial Neural Networks  C Programming Language Family  C++ Programming  Algorithms  Data Science  Linear Algebra
Using Python to Access Web Data, University of Michigan, Computer Programming  Computer Programming Tools  Programming Principles  Python Programming  Data Structures  Web Development  Web Development Tools  Computer Networking  Database Application  HTML and CSS
Understanding and Visualizing Data with Python, University of Michigan, Basic Descriptive Statistics  Data Analysis  General Statistics  Probability & Statistics  Statistical Analysis  Probability Distribution  Statistical Visualization  Data Visualization  Python Programming  Statistical Tests  Computer Programming
Python Data Analytics, Meta, Data Analysis  Data Visualization  Python Programming
Google Project Management:, Google, Project Management  Strategy and Operations  Leadership and Management  Communication  Business Communication  Collaboration  Agile Software Development  Software Engineering  Entrepreneurship  Scrum (Software Development)  Planning  Supply Chain and Logistics  Change Management  Finance  Organizational Development  Product Management  Risk Management  Budget Management  Influencing  Culture  Emotional Intelligence  People Management  Problem Solving  Procurement
Testing and Debugging Python, Coursera Project Network, Python Programming  Software Testing
Fractal Data Science, Fractal Analytics, Communication  Critical Thinking  Data Analysis  Data Model  Data Visualization  Exploratory Data Analysis  Feature Engineering  Power BI  Problem Solving  SQL  Storytelling
Mathematics for Machine Learning and Data Science, DeepLearning.AI, Machine Learning  Calculus  Differential Equations  Mathematics  Machine Learning Algorithms  Regression  Algebra  Algorithms  Artificial Neural Networks  General Statistics  Linear Algebra  Probability & Statistics  Statistical Analysis
Applied Plotting  Charting & Data Representation in Python, University of Michigan, Computer Graphics  Computer Programming  Data Visualization  Plot (Graphics)  Python Programming
Creative Coding: Hands-On Python, University of Michigan, Computer Programming  Programming Principles  Python Programming  Computational Logic  Computer Programming Tools  Critical Thinking  Computational Thinking  Mathematics  Problem Solving  Algorithms
An Introduction to Interactive Programming in Python (Part 1), Rice University, Computer Programming  Programming Principles  Python Programming  Computational Logic  Computer Programming Tools  Critical Thinking  Computational Thinking  Mathematics  Problem Solving  Algorithms
Exploratory Data Analysis With Python and Pandas, Coursera Project Network, Data Analysis  Exploratory Data Analysis  Python Programming
Introduction to Data Analytics, IBM, Data Analysis  Data Management  Data Structures  Data Visualization  Databases  Python Programming  SQL  Big Data  Data Mining  Data Science  NoSQL  Microsoft Excel
Spark  Hadoop  and Snowflake for Data Engineering, Duke University, Big Data  Data Warehousing  Python Programming
Python Scripting for DevOps, Coursera Project Network, Python Programming
Python for Finance: Beta and Capital Asset Pricing Model, Coursera Project Network, Data Analysis  Data Visualization  Financial Analysis  Python Programming
Python for Active Defense, Infosec, Python Programming
IBM Data Analytics with Excel and R, IBM, Data Analysis  R Programming  Computer Programming  Data Visualization  Data Management  Statistical Programming  Databases  Exploratory Data Analysis  Plot (Graphics)  Data Analysis Software  Data Structures  Statistical Analysis  Statistical Visualization  Basic Descriptive Statistics  Microsoft Excel  SQL  General Statistics  Interactive Data Visualization  Database Application  Extract  Transform  Load  Visualization (Computer Graphics)  Spreadsheet Software  Database Design  Database Theory  Programming Principles  Data Model  Database Administration  Computer Programming Tools  Data Mining  Data Visualization Software  Visual Design  Business Analysis  Statistical Tests  Python Programming  Big Data  Data Science  NoSQL
Python with Power BI: Analyzing Financial Data, Coursera Project Network, Power BI  Python Programming
Database Operations in MariaDB Using Python From Infosys, Coursera Project Network, Computer Programming  Databases  Python Programming  SQL
Python Basics: Selection and Iteration, Codio, Computer Programming  Computer Science  Python Programming
Self-Driving Cars, University of Toronto, Algorithms  Machine Learning  Python Programming  Computer Programming  Mathematics  Theoretical Computer Science  Estimation  Mathematical Theory & Analysis  Probability & Statistics  Applied Machine Learning  Computer Vision  Software Engineering  Computer Programming Tools  Critical Thinking  Problem Solving  Strategy and Operations  Systems Design  General Statistics  Linear Algebra  Regression  Artificial Neural Networks  Planning
Introduction to Programming, Ball State University, Machine Learning  Python Programming
The Nuts and Bolts of Machine Learning, Google, Machine Learning  Python Programming
Learn to Program: Crafting Quality Code, University of Toronto, Computer Programming  Programming Principles  Python Programming  Algorithms  Computational Thinking  Critical Thinking  Problem Solving
Object-Oriented Python: Inheritance and Encapsulation, Codio, Python Programming  Computer Programming  Computer Science
Linear Algebra for Data Science Using Python, Howard University, Mathematics
Create Your First Web App with Python and Flask, Coursera Project Network, Application Development  Computer Programming  Python Programming  Web Development
Python Data Products for Predictive Analytics, University of California San Diego, Machine Learning  Data Analysis  Machine Learning Algorithms  Probability & Statistics  Regression  Computer Programming  Exploratory Data Analysis  Python Programming  Statistical Programming  Programming Principles  Algorithms  General Statistics  Other Web Frameworks  Statistical Machine Learning  Data Visualization
Installation et Configuration Python avec Visual Studio Code, Coursera Project Network, Computer Programming  Python Programming
Meta iOS Developer, Meta, Mobile Development  Swift Programming  iOS Development  Computer Programming  Mobile Development Tools  React (web framework)  Application Development  Software Engineering  Data Structures  User Experience  User Experience Design  Web Development  Computer Programming Tools  Software Engineering Tools  Front-End Web Development  Algorithms  Computer Science  Interactive Design  Javascript  Collaboration  Communication  Cross Platform Development  Data Management  Django (Web Framework)  Human Computer Interaction  Linux  Problem Solving  Product Design  Software Architecture  Web Design
Data Visualization with Python, Duke University, Business Communication  Cloud Applications  Data Analysis  Data Visualization  Python Programming
Software Testing and Automation, University of Minnesota, Software Testing  Software Engineering  Computer Programming  Java Programming  Mobile Development Tools  Web Development  Problem Solving  Data Analysis Software  Programming Principles  System Software  Android Development  HTML and CSS  Mobile Development  Other Web Frameworks  Planning  Web Development Tools  iOS Development
Machine Learning for Trading, New York Institute of Finance, Financial Analysis  Machine Learning  Finance  Investment Management  Algorithms  Financial Management  Leadership and Management  Market Analysis  Risk Management  Strategy  Applied Machine Learning  Artificial Neural Networks  Deep Learning  Google Cloud Platform  Human Learning  Training  Cloud Computing  Reinforcement Learning  Python Programming
Applied Python Data Engineering, Duke University, Big Data  Business Communication  Cloud Applications  Cloud-Based Integration  Data Analysis  Data Visualization  Data Warehousing  Docker (Software)  Kubernetes  Python Programming
Python Basic Structures: Lists  Strings  and Files, Codio, Computer Programming  Computer Science  Python Programming
Regression & Forecasting for Data Scientists using Python, EDUCBA, Machine Learning  Microsoft Azure  Applied Machine Learning  Machine Learning Algorithms  Machine Learning Software  Cloud Computing  Python Programming  Human Learning  Algorithms  Big Data  Cloud Applications  Data Analysis  Regression  Cloud-Based Integration  Extract  Transform  Load  Training  Exploratory Data Analysis  Cloud Platforms  Data Management  Deep Learning  Experiment
Microsoft Azure Data Scientist Associate (DP-100), Microsoft, Machine Learning  Microsoft Azure  Applied Machine Learning  Machine Learning Algorithms  Machine Learning Software  Cloud Computing  Python Programming  Human Learning  Algorithms  Big Data  Cloud Applications  Data Analysis  Regression  Cloud-Based Integration  Extract  Transform  Load  Training  Exploratory Data Analysis  Cloud Platforms  Data Management  Deep Learning  Experiment
Python Project for Data Engineering, IBM, Computer Programming  Data Management  Data Mining  Data Structures  Extract  Transform  Load  Python Programming
Applied Text Mining in Python, University of Michigan, Natural Language Processing  Python Programming  Machine Learning  Data Analysis  Data Mining  Applied Machine Learning  Machine Learning Algorithms  Algorithms  Exploratory Data Analysis  Human Learning
Machine Learning on Google Cloud, Google Cloud, Machine Learning  Applied Machine Learning  Google Cloud Platform  Human Learning  Machine Learning Software  Cloud Computing  Machine Learning Algorithms  Cloud Platforms  Deep Learning  Artificial Neural Networks  Feature Engineering  Exploratory Data Analysis  Tensorflow  Python Programming  Data Analysis  Data Visualization  Probability & Statistics  Regression  Statistical Programming  Statistical Visualization  Algorithms  SQL  Cloud API  Apache  Extract  Transform  Load
Aprendiendo Python con bases de datos, Coursera Project Network, Python Programming  SQL
